timestamp,ear,pitch,yaw,is_phone,eyes_open
2025-11-30T15:36:51.401165,0.3337,-162.54,35.16,1,1
2025-11-30T15:36:51.421166,0.3447,-170.45,14.77,0,1
2025-11-30T15:36:51.438167,0.3648,-173.08,12.59,0,1
2025-11-30T15:36:51.455171,0.3395,-170.15,13.76,0,1
2025-11-30T15:36:51.471169,0.3337,-168.72,13.46,0,1
2025-11-30T15:36:51.490168,0.3382,-162.41,43.42,1,1
2025-11-30T15:36:51.523166,0.3365,-161.55,45.22,1,1
2025-11-30T15:36:51.555166,0.3289,-161.41,48.51,1,1
2025-11-30T15:36:51.572165,0.3268,-161.54,48.16,1,1
2025-11-30T15:36:51.607165,0.3145,-157.49,51.26,1,1
2025-11-30T15:36:51.655165,0.3226,-153.77,58.35,1,1
2025-11-30T15:36:51.732168,0.2876,-158.03,65.14,1,1
2025-11-30T15:36:51.752169,0.2876,50.50,20.40,1,1
2025-11-30T15:36:51.771166,0.2780,86.95,-54.82,1,1
2025-11-30T15:36:51.790165,0.2826,-158.42,67.34,1,1
2025-11-30T15:36:51.816164,0.2761,-156.21,65.78,1,1
2025-11-30T15:36:51.866167,0.2860,-163.90,19.71,0,1
2025-11-30T15:36:51.885167,0.2827,121.27,-71.51,1,1
2025-11-30T15:36:51.918168,0.2716,-157.44,69.52,1,1
2025-11-30T15:36:51.971165,0.2843,-154.91,67.22,1,1
2025-11-30T15:36:51.987169,0.2827,-158.22,67.94,1,1
2025-11-30T15:36:52.017166,0.2763,-160.32,67.70,1,1
2025-11-30T15:36:52.083165,0.2756,-159.41,67.26,1,1
2025-11-30T15:36:52.100167,0.2703,-159.93,67.64,1,1
2025-11-30T15:36:52.117166,0.2627,-165.35,11.27,0,1
2025-11-30T15:36:52.134167,0.2926,-161.84,57.85,1,1
2025-11-30T15:36:52.164167,0.2831,-157.39,38.34,1,1
2025-11-30T15:36:52.225165,0.3301,-155.66,24.57,1,1
2025-11-30T15:36:52.264167,0.3531,-161.24,19.90,0,1
2025-11-30T15:36:52.281166,0.3186,-158.42,21.37,1,1
2025-11-30T15:36:52.321166,0.2925,-158.98,22.57,1,1
2025-11-30T15:36:52.372165,0.2894,-161.49,23.54,1,1
2025-11-30T15:36:52.390166,0.3398,-171.97,46.49,1,1
2025-11-30T15:36:52.425170,0.3062,-158.76,26.55,1,1
2025-11-30T15:36:52.496168,0.3665,-158.54,28.01,1,1
2025-11-30T15:36:52.513166,0.3771,-159.01,27.84,1,1
